subway_line_used_most_often,use_of_subway_frequency,average_length_subway_ride,overall_satisfaction,frequency_of_delays,approximate_delay_duration,alternative_transport,frequency_of_rerouting,most_common_reason_for_delay,is_subway_affordable,opinion_on_increased_fares,submitted_at,collection_method,complaint_1,complaint_2,complaint_3
A,"Weekdays, Mon - Fri",20 - 40 min,Neutral,A few times a week,5 - 10 min,Wait for next train,Only on weekends,Signal malfunction,True,Positive,01/10/2019 @ 02:04 PM,online,Delays,High fares,Customer service
7,~5 days per week,40 - 60 min,Not satisfied,Everyday,5 - 10 min,Wait for next train,All the time,Signal malfunction,False,Negative,01/10/2019 @ 02:04 PM,online,Delays,Frequent route changes,High fares
F,Everyday / Almost everyday,60 - 90 min,Highly unsatisfied,Everyday,20 - 45 min,Wait for next train,All the time,Waiting for signal change,False,Positive,01/10/2019 @ 02:05 PM,online,Delays,High fares,Overcrowded trains
L,"Weekdays, Mon - Fri",20 - 40 min,Not satisfied,A few times a week,5 - 10 min,Use another train,Only on weekends,No reason is given,True,Neutral,01/10/2019 @ 02:05 PM,online,Delays,Station infrastructure,Overcrowded trains
Q,Everyday / Almost everyday,40 - 60 min,Not satisfied,A few times a week,10 - 20 min,Use another train,Only at night,Train traffic,True,Positive,01/10/2019 @ 02:05 PM,online,Delays,Customer service,Overcrowded trains
7,"Weekdays, Mon - Fri",40 - 60 min,Not satisfied,Everyday,10 - 20 min,Use another train,All the time,Train traffic,False,Positive,01/10/2019 @ 02:06 PM,online,Delays,High fares,Overcrowded trains
2,Everyday / Almost everyday,40 - 60 min,Somewhat satisfied,A few times a week,5 - 10 min,Use another train,All the time,Train traffic,True,Positive,01/10/2019 @ 02:06 PM,online,Delays,Frequent route changes,Overcrowded trains
7,Once a week,40 - 60 min,Highly unsatisfied,A few times a week,20 - 45 min,Use another train,All the time,No reason is given,True,Positive,01/10/2019 @ 02:07 PM,online,Delays,Frequent route changes,Overcrowded trains
1,"More than once a week, varies",20 - 40 min,Somewhat satisfied,Everyday,5 - 10 min,Wait for next train,Only on weekends,Sick passenger,False,Negative,01/10/2019 @ 02:07 PM,online,Delays,High fares,Overcrowded trains
R,Everyday / Almost everyday,40 - 60 min,Not satisfied,A few times a week,20 - 45 min,Wait for next train,Only on weekends,Train traffic,True,Positive,01/10/2019 @ 02:08 PM,online,Delays,Frequent route changes,High fares
4,Everyday / Almost everyday,60 - 90 min,Very satisfied,Never,5 - 10 min,Walk,Almost never,Sick passenger,True,Neutral,01/10/2019 @ 02:09 PM,online,Crime / Safety,Customer service,
N,~5 days per week,20 - 40 min,Highly unsatisfied,A few times a week,10 - 20 min,Use another train,Only on weekends,Train traffic,True,Positive,01/10/2019 @ 02:10 PM,online,Delays,Overcrowded trains,Lack of handicap access
A,"More than once a week, varies",20 - 40 min,Highly unsatisfied,A few times a week,10 - 20 min,Wait for next train,Only on weekends,Signal malfunction,False,Positive,01/10/2019 @ 02:11 PM,online,Delays,Station infrastructure,Overcrowded trains
W,"Weekdays, Mon - Fri",40 - 60 min,Not satisfied,Everyday,5 - 10 min,Use another train,Only on weekends,Train traffic,False,Positive,01/10/2019 @ 02:11 PM,online,Delays,Customer service,Overcrowded trains
4,Everyday / Almost everyday,40 - 60 min,Not satisfied,A few times a week,> 60 min,Use another train,Only on weekends,Train traffic,False,Positive,01/10/2019 @ 02:11 PM,online,Delays,Frequent route changes,High fares
7,Everyday / Almost everyday,40 - 60 min,Highly unsatisfied,Everyday,10 - 20 min,For-hire vehicle,Only on weekends,No reason is given,True,Neutral,01/10/2019 @ 02:11 PM,online,Delays,Customer service,Overcrowded trains
1,Everyday / Almost everyday,40 - 60 min,Highly unsatisfied,Everyday,20 - 45 min,Bike,All the time,Signal malfunction,False,Positive,01/10/2019 @ 02:12 PM,online,High fares,Crime / Safety,Overcrowded trains
1,~5 days per week,40 - 60 min,Not satisfied,Everyday,10 - 20 min,For-hire vehicle,All the time,Police incident,False,Negative,01/10/2019 @ 02:12 PM,online,Delays,Overcrowded trains,Lack of handicap access
1,"More than once a week, varies",60 - 90 min,Highly unsatisfied,A few times a week,20 - 45 min,Wait for next train,Only at night,Train traffic,False,Negative,01/10/2019 @ 02:12 PM,online,Delays,High fares,Overcrowded trains
Q,Once a month,40 - 60 min,Neutral,Rarely,5 - 10 min,Wait for next train,Almost never,Train traffic,True,Positive,01/10/2019 @ 02:12 PM,online,High fares,Station infrastructure,Old trains
B,~5 days per week,40 - 60 min,Very satisfied,A few times a week,10 - 20 min,Wait for next train,Only at night,Signal malfunction,True,Negative,01/10/2019 @ 02:12 PM,online,Crime / Safety,Station infrastructure,Overcrowded trains
A,~5 days per week,40 - 60 min,Not satisfied,Everyday,5 - 10 min,Wait for next train,Only on weekends,Waiting for signal change,False,Unaware,01/10/2019 @ 02:12 PM,online,Delays,Station infrastructure,Overcrowded trains
2,Everyday / Almost everyday,20 - 40 min,Highly unsatisfied,Everyday,10 - 20 min,Wait for next train,All the time,Signal malfunction,False,Negative,01/10/2019 @ 02:13 PM,online,Delays,Customer service,Station infrastructure
E,"Weekdays, Mon - Fri",40 - 60 min,Neutral,A few times a week,10 - 20 min,Use another train,Only on weekends,Signal malfunction,True,Unaware,01/10/2019 @ 02:13 PM,online,Delays,Frequent route changes,Station infrastructure
N,~5 days per week,60 - 90 min,Highly unsatisfied,Everyday,10 - 20 min,For-hire vehicle,All the time,Signal malfunction,True,Positive,01/10/2019 @ 02:13 PM,online,Delays,Frequent route changes,Lack of handicap access
N,Everyday / Almost everyday,20 - 40 min,Not satisfied,Everyday,20 - 45 min,Take a bus,All the time,Train traffic,True,Positive,01/10/2019 @ 02:13 PM,online,Delays,Customer service,Overcrowded trains
D,Everyday / Almost everyday,20 - 40 min,Somewhat satisfied,Everyday,5 - 10 min,Use another train,All the time,Train traffic,True,Positive,01/10/2019 @ 02:13 PM,online,Delays,Frequent route changes,Lack of handicap access
2,Everyday / Almost everyday,40 - 60 min,Not satisfied,Everyday,10 - 20 min,Wait for next train,All the time,Train traffic,False,Positive,01/10/2019 @ 02:14 PM,online,Delays,High fares,Overcrowded trains
J,Once a week,40 - 60 min,Neutral,A few times a week,10 - 20 min,Wait for next train,All the time,Train traffic,False,Positive,01/10/2019 @ 02:15 PM,online,Delays,Frequent route changes,High fares
1,"Weekdays, Mon - Fri",40 - 60 min,Not satisfied,A few times a week,10 - 20 min,Wait for next train,Almost never,Waiting for signal change,True,Positive,01/10/2019 @ 02:15 PM,online,Delays,Station infrastructure,Overcrowded trains
Staten Island Railway,"Weekdays, Mon - Fri",< 20 min,Neutral,A few times a week,5 - 10 min,Wait for next train,Almost never,No reason is given,False,Positive,01/10/2019 @ 02:15 PM,online,Customer service,Station infrastructure,Old trains
C,Everyday / Almost everyday,20 - 40 min,Neutral,A few times a week,5 - 10 min,Use another train,Only at night,Waiting for signal change,False,Positive,01/10/2019 @ 02:16 PM,online,Delays,Old trains,Lack of handicap access
1,Everyday / Almost everyday,60 - 90 min,Somewhat satisfied,A few times a week,,Wait for next train,Only at night,Signal malfunction,True,Positive,01/10/2019 @ 02:16 PM,online,Delays,High fares,Lack of handicap access
R,Once a week,20 - 40 min,Neutral,A few times a week,10 - 20 min,Walk,Only at night,Train traffic,True,Positive,01/10/2019 @ 02:16 PM,online,,,
D,Everyday / Almost everyday,40 - 60 min,Not satisfied,Rarely,5 - 10 min,For-hire vehicle,Almost never,Train traffic,False,Negative,01/10/2019 @ 02:17 PM,online,Crime / Safety,Station infrastructure,Overcrowded trains
1,"Weekdays, Mon - Fri",40 - 60 min,Somewhat satisfied,A few times a week,5 - 10 min,Take a bus,Only on weekends,Train traffic,True,Neutral,01/10/2019 @ 02:17 PM,online,Delays,Frequent route changes,Station infrastructure
J,"Weekdays, Mon - Fri",40 - 60 min,Not satisfied,Almost never,5 - 10 min,Use another train,Almost never,Waiting for signal change,True,Other / No thoughts,01/10/2019 @ 02:17 PM,online,Crime / Safety,Customer service,Station infrastructure
1,Everyday / Almost everyday,20 - 40 min,Highly unsatisfied,Everyday,,For-hire vehicle,,Waiting for signal change,True,Negative,01/10/2019 @ 02:17 PM,online,Delays,Crime / Safety,Customer service
6,Everyday / Almost everyday,< 20 min,Somewhat satisfied,Rarely,10 - 20 min,Wait for next train,Only on weekends,Signal malfunction,True,Positive,01/10/2019 @ 02:17 PM,online,Delays,Station infrastructure,Overcrowded trains
1,"Weekdays, Mon - Fri",40 - 60 min,Highly unsatisfied,Everyday,10 - 20 min,Wait for next train,Almost never,Train traffic,True,Positive,01/10/2019 @ 02:18 PM,online,Delays,Station infrastructure,Overcrowded trains
1,Everyday / Almost everyday,20 - 40 min,Highly unsatisfied,Everyday,10 - 20 min,For-hire vehicle,All the time,Train traffic,False,Positive,01/10/2019 @ 02:18 PM,online,Delays,Station infrastructure,Overcrowded trains
7,Everyday / Almost everyday,40 - 60 min,Highly unsatisfied,A few times a week,10 - 20 min,Wait for next train,All the time,Train traffic,True,Positive,01/10/2019 @ 02:18 PM,online,Delays,Frequent route changes,Station infrastructure
7,~5 days per week,40 - 60 min,Not satisfied,Everyday,20 - 45 min,Use another train,All the time,Waiting for signal change,False,Positive,01/10/2019 @ 02:18 PM,online,Delays,High fares,Overcrowded trains
F,"Weekdays, Mon - Fri",< 20 min,Not satisfied,Everyday,5 - 10 min,Take a bus,All the time,Train traffic,False,Positive,01/10/2019 @ 02:18 PM,online,Delays,High fares,Crime / Safety
5,"More than once a week, varies",60 - 90 min,Not satisfied,,20 - 45 min,For-hire vehicle,Only at night,Signal malfunction,True,Positive,01/10/2019 @ 02:19 PM,online,Delays,Frequent route changes,High fares
A,Everyday / Almost everyday,40 - 60 min,Not satisfied,Everyday,5 - 10 min,Use another train,Only on weekends,Train traffic,False,Positive,01/10/2019 @ 02:19 PM,online,Frequent route changes,High fares,Station infrastructure
F,~5 days per week,40 - 60 min,Not satisfied,A few times a week,10 - 20 min,Use another train,Only on weekends,No reason is given,True,Positive,01/10/2019 @ 02:19 PM,online,Delays,Frequent route changes,Lack of handicap access
1,Once a week,20 - 40 min,,Rarely,,,Only on weekends,Waiting for signal change,True,Positive,01/10/2019 @ 02:19 PM,online,Customer service,Station infrastructure,Lack of handicap access
N,"Weekdays, Mon - Fri",40 - 60 min,Highly unsatisfied,Everyday,20 - 45 min,Wait for next train,All the time,Signal malfunction,True,Positive,01/10/2019 @ 02:20 PM,online,Delays,High fares,Overcrowded trains
N,~5 days per week,< 20 min,Highly unsatisfied,A few times a week,5 - 10 min,Use another train,Only on weekends,Train traffic,False,Positive,01/10/2019 @ 02:20 PM,online,Delays,Customer service,Overcrowded trains
7,"More than once a week, varies",20 - 40 min,Not satisfied,,5 - 10 min,Wait for next train,Only on weekends,Train traffic,True,Positive,01/10/2019 @ 02:20 PM,online,Delays,Frequent route changes,
4,Almost never,20 - 40 min,Not satisfied,A few times a week,10 - 20 min,Use another train,Almost never,Train traffic,True,Other / No thoughts,01/10/2019 @ 02:21 PM,online,High fares,,
1,"More than once a week, varies",40 - 60 min,Not satisfied,Everyday,20 - 45 min,Wait for next train,All the time,Signal malfunction,False,Positive,01/10/2019 @ 02:21 PM,online,Delays,High fares,Lack of handicap access
2,"Weekdays, Mon - Fri",40 - 60 min,Highly unsatisfied,Everyday,10 - 20 min,Wait for next train,Almost never,Train traffic,True,Positive,01/10/2019 @ 02:21 PM,online,Crime / Safety,,
N,"Weekdays, Mon - Fri",< 20 min,Not satisfied,Everyday,5 - 10 min,Wait for next train,All the time,Signal malfunction,False,Positive,01/10/2019 @ 02:21 PM,online,Delays,Frequent route changes,Overcrowded trains
1,"More than once a week, varies",20 - 40 min,Not satisfied,A few times a week,10 - 20 min,Use another train,All the time,Train traffic,True,Positive,01/10/2019 @ 02:21 PM,online,Delays,Customer service,Overcrowded trains
D,"Weekdays, Mon - Fri",60 - 90 min,Not satisfied,A few times a week,10 - 20 min,Wait for next train,Only at night,Train traffic,False,Positive,01/10/2019 @ 02:22 PM,online,Customer service,Station infrastructure,Lack of handicap access
M,Everyday / Almost everyday,40 - 60 min,Not satisfied,A few times a week,20 - 45 min,Wait for next train,Only on weekends,Train traffic,True,Unaware,01/10/2019 @ 02:22 PM,online,Delays,Frequent route changes,Overcrowded trains
3,Everyday / Almost everyday,20 - 40 min,Somewhat satisfied,A few times a week,10 - 20 min,Wait for next train,Only on weekends,Train traffic,True,Other / No thoughts,01/10/2019 @ 02:22 PM,online,Customer service,Station infrastructure,Lack of handicap access
A,Everyday / Almost everyday,40 - 60 min,Somewhat satisfied,Rarely,20 - 45 min,Wait for next train,Only on weekends,Sick passenger,True,Other / No thoughts,01/10/2019 @ 02:22 PM,online,Crime / Safety,Customer service,Overcrowded trains
5,Everyday / Almost everyday,20 - 40 min,Neutral,A few times a week,20 - 45 min,Use another train,All the time,Signal malfunction,True,Neutral,01/10/2019 @ 02:22 PM,online,Delays,Customer service,Overcrowded trains
7,~5 days per week,< 20 min,Somewhat satisfied,A few times a week,5 - 10 min,Use another train,Only on weekends,Signal malfunction,True,Negative,01/10/2019 @ 02:23 PM,online,Delays,Frequent route changes,Overcrowded trains
4,Everyday / Almost everyday,20 - 40 min,Highly unsatisfied,Everyday,10 - 20 min,For-hire vehicle,All the time,Signal malfunction,False,Negative,01/10/2019 @ 02:25 PM,online,High fares,Old trains,Overcrowded trains
A,Once a month,60 - 90 min,Neutral,Rarely,20 - 45 min,Wait for next train,Almost never,Train traffic,True,Unaware,01/10/2019 @ 02:26 PM,online,Delays,Old trains,Overcrowded trains
1,Everyday / Almost everyday,20 - 40 min,Not satisfied,A few times a week,5 - 10 min,For-hire vehicle,Only on weekends,Train traffic,True,Positive,01/10/2019 @ 02:26 PM,online,Station infrastructure,Old trains,Overcrowded trains
A,Everyday / Almost everyday,20 - 40 min,Highly unsatisfied,Everyday,10 - 20 min,Use another train,All the time,Waiting for signal change,True,Other / No thoughts,01/10/2019 @ 02:26 PM,online,Delays,High fares,Overcrowded trains
N,Almost never,20 - 40 min,Somewhat satisfied,Rarely,5 - 10 min,Walk,Only on weekends,Sick passenger,True,Neutral,01/10/2019 @ 02:28 PM,online,Delays,Customer service,Lack of handicap access
N,~5 days per week,40 - 60 min,Highly unsatisfied,Everyday,20 - 45 min,Wait for next train,Only on weekends,Signal malfunction,False,Positive,01/10/2019 @ 02:29 PM,online,Delays,Frequent route changes,Overcrowded trains
R,"More than once a week, varies",20 - 40 min,Somewhat satisfied,A few times a week,5 - 10 min,,Almost never,Train traffic,False,Negative,01/10/2019 @ 02:29 PM,online,High fares,Station infrastructure,Overcrowded trains
L,"More than once a week, varies",20 - 40 min,Not satisfied,Everyday,5 - 10 min,Use another train,Almost never,Train traffic,True,Positive,01/10/2019 @ 02:29 PM,online,Delays,Old trains,Overcrowded trains
1,"Weekdays, Mon - Fri",40 - 60 min,Not satisfied,A few times a week,5 - 10 min,For-hire vehicle,All the time,Train traffic,False,Positive,01/10/2019 @ 02:30 PM,online,Delays,Crime / Safety,Old trains
N,Everyday / Almost everyday,40 - 60 min,Highly unsatisfied,A few times a week,20 - 45 min,Wait for next train,Almost never,Signal malfunction,True,Positive,01/10/2019 @ 02:30 PM,online,Delays,High fares,Lack of handicap access
F,~5 days per week,40 - 60 min,Not satisfied,A few times a week,5 - 10 min,Use another train,Only on weekends,Train traffic,True,Unaware,01/10/2019 @ 02:30 PM,online,Delays,Station infrastructure,Overcrowded trains
7,Everyday / Almost everyday,40 - 60 min,Not satisfied,Everyday,20 - 45 min,Use another train,Only on weekends,Train traffic,True,Neutral,01/10/2019 @ 02:30 PM,online,Delays,Station infrastructure,Overcrowded trains
Q,Everyday / Almost everyday,20 - 40 min,Very satisfied,Rarely,10 - 20 min,Use another train,Only on weekends,Signal malfunction,True,Unaware,01/10/2019 @ 02:31 PM,online,Delays,Overcrowded trains,
F,Everyday / Almost everyday,40 - 60 min,Not satisfied,A few times a week,5 - 10 min,Use another train,All the time,Signal malfunction,True,Negative,01/10/2019 @ 02:31 PM,online,Overcrowded trains,,
M,"Weekdays, Mon - Fri",20 - 40 min,Somewhat satisfied,A few times a week,5 - 10 min,Wait for next train,Only on weekends,Train traffic,False,Positive,01/10/2019 @ 02:31 PM,online,High fares,Overcrowded trains,Lack of handicap access
C,Everyday / Almost everyday,40 - 60 min,Highly unsatisfied,A few times a week,5 - 10 min,Wait for next train,All the time,Train traffic,True,Positive,01/10/2019 @ 02:32 PM,online,Delays,Frequent route changes,Station infrastructure
